name,price,score,reviews amount,review
Grand Baltic Dunes,€ 77,8.8,"4,865",Excellent
Senoji Palanga,€ 44,9.6,497,Exceptional
Kerpė Hotel & SPA,€ 77,8.9,"1,275",Excellent
Atostogų Parkas Hotel,€ 91,8.9,"2,888",Excellent
Žilvinas Hotel,€ 106,9.1,675,Wonderful
Amberton Green Apartments Palanga,€ 68,9.0,"3,249",Wonderful
Senoji Hansa Hotel,€ 87,9.2,"1,308",Wonderful
Hotel Palanga Camping Compensa,€ 59,8.9,"1,322",Excellent
Palangos Vetra,€ 78,8.9,"1,758",Excellent
A.V. namai,€ 42,9.1,630,Wonderful
Arciau Juros,€ 80,9.3,274,Wonderful
11B Svečių namai Palanga,€ 43,8.4,154,Very Good
Poilsis Palangoje,€ 56,8.1,568,Very Good
Muza Hotel,€ 62,8.3,"1,967",Very Good
Vila Komoda,€ 137,9.4,330,Wonderful
Gedimino 1,€ 25,9.1,250,Wonderful
Palanga Centrum,€ 39,8.6,763,Excellent
Gamtos apsupty,€ 42,9.0,410,Wonderful
Palanga Life Balance SPA Hotel,€ 224,9.2,"1,264",Wonderful
Guest House & Villa Astoma,€ 59,9.1,862,Wonderful
Gerika guest house,€ 63,9.4,234,Wonderful
Holiday Villa Palanga,€ 76,9.7,55,Exceptional
Vanagupe Spa Resort,€ 151,9.0,"1,113",Wonderful
Izabelės apartamentai,€ 35,9.2,587,Wonderful
Vytauto 80,€ 72,9.7,168,Exceptional
All Seasons Palanga Apartaments,€ 77,9.2,754,Wonderful
Vila Komoda,€ 137,9.4,330,Wonderful
Virginija Guest House,€ 42,9.5,196,Exceptional
11B Svečių namai Palanga,€ 47,8.4,154,Very Good
DV Apartments Palanga,€ 67,8.6,78,Excellent
Šarkutė,€ 52,9.8,155,Exceptional
Palangos Vetra,€ 85,8.9,"1,758",Excellent
Pasaka Palanga,€ 63,9.6,242,Exceptional
Ramybes sala,€ 38,9.4,242,Wonderful
Apartamentai Gastrolės,€ 45,9.4,143,Wonderful
Palangos Dailė,€ 74,8.6,544,Excellent
Gerves Apartamentai,€ 77,9.6,340,Exceptional
Guest House & Villa Astoma,€ 59,9.1,862,Wonderful
Antano Vila,€ 62,9.4,10,Wonderful
SKY Villa,€ 88,9.7,409,Exceptional
Vila Ieva,€ 70,9.4,322,Wonderful
LT Mini Studio,€ 57,9.6,153,Exceptional
LivingPalanga Meta3,€ 39,8.8,259,Excellent
Gerika guest house,€ 63,9.4,234,Wonderful
Apartments Plytu7,€ 52,8.9,35,Excellent
Mociutes Palanga,€ 28,8.9,189,Excellent
Apartament Smilčių skg,€ 82,9.7,167,Exceptional
Apartmentai Baltoji Ramune,€ 60,7.6,61,Good
Mar Baltico Palanga Apartment,€ 92,9.6,24,Exceptional
Vila Uosis,€ 70,8.8,303,Excellent
Green House,€ 127,8.8,44,Excellent
Neringa Guest House,€ 42,8.5,164,Very Good
Guest House Darius ir Girėnas,€ 102,9.3,152,Wonderful
Sveciu Namas 9,€ 70,9.3,118,Wonderful
Meguva Resort Hotel,€ 91,8.9,571,Excellent
Saulės Krantas,€ 123,9.5,152,Exceptional
Elena,€ 57,9.1,342,Wonderful
Guest House Pasaulio Kraštas,€ 44,9.3,100,Wonderful
Vila Elvina,€ 57,9.3,356,Wonderful
Arunes Apartments,€ 152,9.2,331,Wonderful
Vila Florena,€ 42,9.2,199,Wonderful
Vila Elegancija,€ 129,8.8,106,Excellent
Info Hotel,€ 50,8.7,584,Excellent
Virginija Guest House,€ 42,9.5,196,Exceptional
Ramios bitės,€ 67,9.5,658,Exceptional
11B Svečių namai Palanga,€ 47,8.4,154,Very Good
Tauras Center Hotel,€ 83,8.9,969,Excellent
Vila Vitalija,€ 65,9.4,315,Wonderful
Gradiali Wellness and SPA,€ 173,8.8,"3,162",Excellent
DV Apartments Palanga,€ 67,8.6,78,Excellent
Šarkutė,€ 52,9.8,155,Exceptional
Loreta2,€ 37,8.7,55,Excellent
Guest House Darius ir Girėnas,€ 102,9.3,152,Wonderful
Izabelės apartamentai,€ 35,9.2,587,Wonderful
Tauras Center Hotel,€ 83,8.9,969,Excellent
Guest House Aštuoni,€ 119,9.5,191,Exceptional
Home of Health and Beauty,€ 65,9.0,184,Wonderful
Apartamentai Gastrolės,€ 45,9.4,143,Wonderful
Kunigiskes103,€ 48,8.4,75,Very Good
"Apartamentai ""Nadiežda""",€ 56,9.8,104,Exceptional
Vytauto 80,€ 72,9.7,168,Exceptional
Vila Elena,€ 54,9.3,131,Wonderful
Palanga INN,€ 77,9.7,140,Exceptional
Vila Elvina,€ 57,9.3,356,Wonderful
Info Hotel,€ 50,8.7,584,Excellent
Žuvėdra,€ 302,8.7,"2,289",Excellent
Vila Laurus,€ 122,9.8,43,Exceptional
LT Mini Studio,€ 57,9.6,153,Exceptional
Dvi Sesutės,€ 36,7.8,53,Good
Arunes Apartments,€ 152,9.2,331,Wonderful
Vila Medus,€ 59,9.0,217,Wonderful
Raze,€ 113,8.0,331,Very Good
Guest house Rasa,€ 52,9.4,119,Wonderful
Apartmentai Baltoji Ramune,€ 60,7.6,61,Good
Poilsis Palangoje pas Daivą,€ 44,9.5,197,Exceptional
Baltic Apartments Premium,€ 77,9.2,185,Wonderful
Hotel Pušų paunksnėje,€ 251,9.6,365,Exceptional
Palanga Deluxe 2,€ 52,9.7,121,Exceptional
Dolce Vita,€ 107,9.4,27,Wonderful
Žemaičių apartamentai,€ 59,9.2,12,Wonderful
Sand Apartament,€ 65,9.5,25,Exceptional
Zidinio Liepsnele,€ 92,9.7,60,Exceptional
Saulės Krantas,€ 123,9.5,152,Exceptional
Edžio apartamentai,€ 59,9.6,66,Exceptional
Vilaverona,€ 68,9.3,63,Wonderful
AVE MEDICA Apartments,€ 57,7.8,177,Good
Pas Loretą,€ 47,9.3,392,Wonderful
Apartamentai Šviesa,€ 92,9.9,60,Exceptional
Hotel Vila Diemedis,€ 82,8.6,674,Excellent
Apartamentai Tylios pušys,€ 102,8.8,84,Excellent
"Palanga Park Hotel, Tubinas Hotels",€ 100,8.1,"2,241",Very Good
Irenos Svetaine,€ 47,9.4,203,Wonderful
Perlas Cokolyje,€ 57,7.3,12,Good
Mar Baltico Palanga Apartment,€ 92,9.6,24,Exceptional
"Nendres 8, Palanga, Kunigiškės, Kunigiškiai",€ 65,9.8,47,Exceptional
Apartamentai Palangos centre,€ 36,8.3,79,Very Good
Kurortas Apartments,€ 72,8.8,61,Excellent
Sveciu namai Audra,€ 63,8.7,243,Excellent
Apartamentai Palangos centre,€ 36,8.3,79,Very Good
Kurortas Apartments,€ 72,8.8,61,Excellent
Sveciu namai Audra,€ 63,8.7,243,Excellent
All Seasons Palanga Apartaments,€ 77,9.2,754,Wonderful
Vytauto apartamentai,€ 83,9.1,24,Wonderful
Apart residences by the sea,€ 152,8.5,203,Very Good
Holiday Palanga Sea Side,€ 63,8.9,98,Excellent
For you,€ 56,9.1,43,Wonderful
My family,€ 82,9.5,151,Exceptional
Poilsio Laboratorija 3K,€ 61,9.0,36,Wonderful
Apartamentai Liepų take,€ 116,9.8,24,Exceptional
Alanga apartments,€ 64,9.6,8,Exceptional
Vila Vakaré,€ 63,8.5,137,Very Good
Green House,€ 127,8.8,44,Excellent
Palanga-Apartamentai,€ 81,9.3,28,Wonderful
Butukai,€ 40,9.0,122,Wonderful
Apartment Amber Wind,€ 65,9.3,65,Wonderful
GreenRoom Kunigiškės,€ 102,9.6,98,Exceptional
Svečių Apartamentai Vanagupėje,€ 41,9.3,89,Wonderful
Vila Romantika,€ 70,9.8,156,Exceptional
JANINA,€ 53,10E,1,xceptional
Comfort Hostel Palanga,€ 122,8.6,35,Excellent
Medziotoju Apartments,€ 73,9.6,115,Exceptional
Andzelos Apartament,€ 38,8.5,53,Very Good
Bella luna vila Palanga with forest view,€ 108,9.8,6,Exceptional
Geltoni apartamentai,€ 44,9.5,162,Exceptional
BIMBA,€ 153,9.5,45,Exceptional
Apartamentai Druskininkų 7B,€ 58,9.6,300,Exceptional
Sveciu Namas 9,€ 70,9.3,118,Wonderful
Grey Red Apartments,€ 66,9.4,82,Wonderful
Mėguvos butai,€ 67,8.6,53,Excellent
NeriesApartment No.2 Bedrooms Modern Suite In Centrum,€ 89,9.4,61,Wonderful
Amsterdam Residence Hotel,€ 63,9.2,16,Wonderful
Amber drop,€ 62,9.7,344,Exceptional
Black Gold Apartments,€ 126,9.5,4,Exceptional
Vila Elvina,€ 57,9.3,356,Wonderful
MANDALOS vila,€ 143,9.7,3,Exceptional
P7 Palanga,€ 50,8.6,113,Excellent
Apartment Amber Sky,€ 75,9.5,79,Exceptional
RR apartamentai Palangos centre,€ 88,9.5,30,Exceptional
Vila Elegancija,€ 129,8.8,106,Excellent
Amsterdam Residence,€ 71,8.6,14,Excellent
Ramybės Oazė,€ 76,9.3,3,Wonderful
AMI Penthouse,€ 142,9.7,20,Exceptional
Palanga Center Studios,€ 72,9.3,84,Wonderful
Izabelės apartamentai. Butas - studija,€ 63,9.5,14,Exceptional
Vėžių g 26 K5-12,€ 70,9.7,13,Exceptional
Hotel Pušų paunksnėje,€ 251,9.6,365,Exceptional
Plytų g. Apartamentai,€ 96,8.9,9,Excellent
Carpe diem,€ 74,8.3,28,Very Good
Žiogų apartamentas,€ 57,9.6,25,Exceptional
"Namelis ,,Gilė”",€ 58,10E,12,xceptional
Apartamentai Vanagupės rajone,€ 32,8.8,257,Excellent
Tatjanos apartamentai,€ 56,9.4,88,Wonderful
Vyturiai - naujų apartamentų nuoma Šventojoje,€ 52,8.9,44,Excellent
VILA SATERA,€ 169,9.0,3,Wonderful
Rest in Palanga,€ 44,8.7,518,Excellent
Vila Vakaré,€ 63,8.5,137,Very Good
Green House,€ 127,8.8,44,Excellent
Apartments in Palanga,€ 78,8.6,5,Excellent
"Vila""Anna""",€ 47,8.2,448,Very Good
Vila Romantika,€ 70,9.8,156,Exceptional
Medziotoju Apartments,€ 73,9.6,115,Exceptional
NeriesApartment Two Bedrooms Resort Suite iN Centrum,€ 85,10E,1,xceptional
Vila „Prie tvenkinio“,€ 74,8.2,23,Very Good
Family Apartment,€ 87,9.7,7,Exceptional
Vėžių g 26 K5-11 buto nuoma,€ 59,9.5,19,Exceptional
Sea House 2N,€ 252,9.9,8,Exceptional
Apartamentai Druskininkų 7B,€ 58,9.6,300,Exceptional
Palangos vėžiukas,€ 52,9.3,6,Wonderful
Sveciu Namas 9,€ 70,9.3,118,Wonderful
Pas Solą,€ 66,9.7,15,Exceptional
NeriesApartment No.1 Holidays By J. Basanaviciaus,€ 84,8.7,16,Excellent
Palangos vėžiukas,€ 52,9.3,6,Wonderful
Pas Solą,€ 66,9.7,15,Exceptional
NeriesApartment No.1 Holidays By J. Basanaviciaus,€ 84,8.7,16,Excellent
Vaivorykštės namai,€ 120,9.4,33,Wonderful
Gėlių apartamentai,€ 59,9.8,56,Exceptional
AMI Vanagupės forest,€ 152,9.4,19,Wonderful
"Svečių namai Tuopa, Palanga",€ 45,9.0,1,Wonderful
Apartment Ieva,€ 85,9.6,38,Exceptional
A.R.B,€ 275,8.5,2,Very Good
LivingPalanga Meta5,€ 54,8.6,28,Excellent
Mėlyna jūra apartamentai,€ 111,10E,2,xceptional
Poilsio Laboratorija 3,€ 65,9.5,33,Exceptional
Modern Loft Garage - Mano Jura,€ 145,10E,2,xceptional
Butukas Palangoje,€ 65,9.0,4,Wonderful
Šeimos Apartamentai Namų Jaukumas,€ 54,9.1,15,Wonderful
6_banga,€ 153,10E,26,xceptional
Info Hotel Apartments,€ 46,7.8,180,Good
Atostogauk dabar!,€ 97,8.4,16,Very Good
Pajūrio krantas Šventojoje,€ 71,7.6,13,Good
"Gyvenamas namas su atskiru įėjimu svečiams. 2 aukštas, 2 kambariai (4miegamos vietos), vienas iš jų su virtuve, atskiras wc, dušas",€ 101,4.0,2,Review score
Elija Apartment,€ 145,8.1,8,Very Good
Butukai,€ 40,9.0,122,Wonderful
Vila Elena,€ 54,9.3,131,Wonderful
Medziotoju Apartments,€ 73,9.6,115,Exceptional
Info Hotel Apartments,€ 46,7.8,180,Good
Zidinio Liepsnele,€ 92,9.7,60,Exceptional
Guest House Aštuoni,€ 119,9.5,191,Exceptional
Irenos Svetaine,€ 47,9.4,203,Wonderful
Žuvėdra,€ 302,8.7,"2,289",Excellent
Apartamentai Tylios pušys,€ 102,8.8,84,Excellent
